ID,Counties,Absentee by Mail Votes,Advance Voting Votes,Election Day Votes,Provisional Votes,Total
Appling 1B,1B,43,344,361,0,748
Appling 1C,1C,22,304,253,0,579
Appling 2,2,25,197,198,0,420
Appling 3A1,3A1,19,205,287,0,511
Appling 3C,3C,42,428,280,0,750
Appling 4B,4B,17,215,378,1,611
Appling 4D,4D,47,435,348,0,830
Appling 5A,5A,23,283,262,0,568
Appling 5B,5B,12,243,280,0,535
Atkinson Pearson County,Pearson County,19,519,325,1,864
Atkinson Axson,Axson,6,87,251,0,344
Atkinson Willacoochee,Willacoochee,9,157,258,1,425
Atkinson Pearson City,Pearson City,6,72,55,1,134
Bacon Douglas,Douglas,85,2364,863,0,3312
Baker Anna,Anna,7,45,94,0,146
Baker Elmodel,Elmodel,12,80,56,0,148
Baker Hoggards Mill,Hoggards Mill,3,38,65,1,107
Baker Milford,Milford,13,84,108,0,205
Baker Newton,Newton,8,87,52,2,149
Baldwin Scottboro,Scottboro,17,152,180,0,349
Baldwin North Baldwin,North Baldwin,75,1160,596,0,1831
Baldwin West Baldwin,West Baldwin,17,382,284,0,683
Baldwin East Hardwick,East Hardwick,3,40,47,0,90
Baldwin West Hardwick,West Hardwick,18,199,117,0,334
Baldwin Coopers,Coopers,11,296,389,0,696
Baldwin South Milledgeville,South Milledgeville,6,65,44,0,115
Baldwin City Hall Annex,City Hall Annex,8,45,39,0,92
Baldwin Boddie,Boddie,1,72,32,0,105
Baldwin Courthouse,Courthouse,5,53,29,0,87
Baldwin West Thomas,West Thomas,12,92,46,0,150
Baldwin North Milledgeville,North Milledgeville,28,465,208,0,701
Baldwin Meriwether,Meriwether,61,801,440,0,1302
Baldwin East Baldwin,East Baldwin,69,888,495,0,1452
Banks Anderson,Anderson,22,470,279,0,771
Banks Baldwin,Baldwin,39,253,151,0,443
Banks Berlin,Berlin,8,196,116,0,320
Banks Bushville,Bushville,9,267,163,0,439
Banks Columbia,Columbia,7,130,77,0,214
Banks Davids,Davids,19,514,373,1,907
Banks Golden Hill,Golden Hill,12,261,143,3,419
Banks Grove River,Grove River,16,188,133,0,337
Banks Hollingsworth,Hollingsworth,16,226,123,0,365
Banks Homer,Homer,18,489,268,0,775
Banks Poplar Springs,Poplar Springs,42,582,308,0,932
Banks Washington,Washington,10,265,117,1,393
Banks Wilmonts,Wilmonts,8,215,113,0,336
Barrow 01,01,42,634,759,0,1435
Barrow 02,02,145,1825,1498,1,3469
Barrow 03,03,87,996,1317,0,2400
Barrow 04,04,37,704,689,0,1430
Barrow 05,05,134,1907,1623,1,3665
Barrow 08,08,122,2035,1156,0,3313
Barrow 13,13,140,1877,1267,1,3285
Barrow 16,16,81,1391,1364,0,2836
Bartow Adairsville,Adairsville,91,1643,1375,3,3112
Bartow Allatoona,Allatoona,40,797,703,1,1541
Bartow Cartersville East,Cartersville East,126,1301,840,2,2269
Bartow Cartersville West,Cartersville West,139,2365,1181,1,3686
Bartow Cassville,Cassville,70,916,617,0,1603
Bartow Center,Center,76,973,993,1,2043
Bartow Emerson,Emerson,58,565,731,1,1355
Bartow Euharlee,Euharlee,52,1056,1267,2,2377
Bartow Folsom,Folsom,19,235,482,2,738
Bartow Kingston,Kingston,36,517,799,0,1352
Bartow Mission Road,Mission Road,74,954,677,2,1707
Bartow Pine Log,Pine Log,34,391,803,2,1230
Bartow Taylorsville,Taylorsville,29,494,1072,0,1595
Bartow White,White,43,600,800,1,1444
Bartow Zena Drive,Zena Drive,102,1021,726,3,1852
Bartow Hamilton Crossing,Hamilton Crossing,114,1628,1110,3,2855
Bartow Woodland,Woodland,51,326,390,2,769
Ben Hill East,East,81,2375,954,2,3412
Berrien West Berrien,West Berrien,23,177,391,0,591
Berrien Ray City ,Ray City ,22,387,407,0,816
Berrien Nashville,Nashville,129,1757,899,1,2786
Berrien Enigma,Enigma,8,98,379,0,485
Berrien Alapaha ,Alapaha ,13,165,352,1,531
Bibb East Macon 1,East Macon 1,4,11,9,0,24
Bibb East Macon 2,East Macon 2,15,51,39,0,105
Bibb East Macon 3,East Macon 3,39,236,214,1,490
Bibb East Macon 4,East Macon 4,3,26,32,0,61
Bibb East Macon 5,East Macon 5,18,110,156,0,284
Bibb Godfrey 1,Godfrey 1,21,86,104,1,212
Bibb Godfrey 2,Godfrey 2,10,24,30,0,64
Bibb Godfrey 3,Godfrey 3,8,56,36,2,102
Bibb Godfrey 4,Godfrey 4,7,37,31,0,75
Bibb Godfrey 5,Godfrey 5,23,93,112,0,228
Bibb Hazzard 1,Hazzard 1,19,70,63,0,152
Bibb Hazzard 2,Hazzard 2,44,286,620,0,950
Bibb Hazzard 3,Hazzard 3,72,482,415,1,970
Bibb Hazzard 4,Hazzard 4,95,835,989,4,1923
Bibb Howard 1,Howard 1,125,802,694,1,1622
Bibb Howard 2,Howard 2,113,746,753,3,1615
Bibb Howard 3,Howard 3,109,940,953,3,2005
Bibb Howard 4,Howard 4,28,265,183,0,476
Bibb Howard 5,Howard 5,32,160,230,0,422
Bibb Howard 6,Howard 6,48,390,292,0,730
Bibb Howard 7,Howard 7,48,550,638,1,1237
Bibb Rutland 1,Rutland 1,104,732,1244,1,2081
Bibb Rutland 2,Rutland 2,56,381,852,0,1289
Bibb Vineville 1,Vineville 1,25,228,310,0,563
Bibb Vineville 2,Vineville 2,11,91,142,1,245
Bibb Vineville 3,Vineville 3,11,64,38,0,113
Bibb Vineville 4,Vineville 4,15,102,107,0,224
Bibb Vineville 5,Vineville 5,51,350,376,0,777
Bibb Vineville 6,Vineville 6,21,378,446,0,845
Bibb Warrior 1,Warrior 1,44,286,838,3,1171
Bibb Warrior 2,Warrior 2,48,469,824,0,1341
Bleckley 1,1,152,2241,1492,1,3886
Brantley Hoboken,Hoboken,35,819,897,0,1751
Brantley Nahunta,Nahunta,49,1108,797,0,1954
Brantley Waynesville,Waynesville,15,725,971,0,1711
Brooks Quitman ,Quitman ,31,479,274,1,785
Brooks Barwick,Barwick,2,41,123,0,166
Brooks Dixie,Dixie,5,137,170,2,314
Brooks Briggs,Briggs,25,382,535,0,942
Brooks Pavo,Pavo,3,71,208,0,282
Brooks Nankin,Nankin,4,136,207,0,347
Brooks Morven,Morven,16,336,452,4,808
Bryan Harn Community Center,Harn Community Center,15,540,313,0,868
Bryan Danielsiding,Danielsiding,25,562,350,0,937
Bryan Christ Baptist Church,Christ Baptist Church,36,827,625,0,1488
Bryan Black Creek,Black Creek,18,260,327,0,605
Bryan First Baptist Church,First Baptist Church,27,671,437,0,1135
Bryan RH Rec Complex,RH Rec Complex,23,529,269,0,821
Bryan John Stevens Wetland Ctr,John Stevens Wetland Ctr,53,1125,358,0,1536
Bryan New Life,New Life,29,1370,654,0,2053
Bryan New Beginnings,New Beginnings,43,1012,482,0,1537
Bryan Bryan County Admin Bldg,Bryan County Admin Bldg,23,736,449,0,1208
Bulloch Lockhart,Lockhart,5,82,254,1,342
Bulloch Emit,Emit,47,670,711,0,1428
Bulloch Statesboro,Statesboro,93,1003,637,0,1733
Bulloch Portal,Portal,14,225,479,1,719
Bulloch Fair,Fair,118,1366,760,5,2249
Bulloch Church,Church,77,908,569,3,1557
Bulloch Pittman Park,Pittman Park,31,331,291,2,655
Bulloch Leefield,Leefield,15,124,400,1,540
Bulloch Blitch,Blitch,25,438,574,0,1037
Bulloch Hagin,Hagin,27,354,574,0,955
Bulloch Brooklet,Brooklet,51,724,935,2,1712
Bulloch Stilson,Stilson,18,293,741,0,1052
Bulloch Bay,Bay,23,223,608,1,855
Bulloch Nevils,Nevils,19,214,411,0,644
Bulloch Sinkhole,Sinkhole,7,57,189,0,253
Bulloch Register,Register,10,127,198,1,336
Burke Alexander,Alexander,2,33,92,0,127
Burke Four Points,Four Points,27,310,569,0,906
Burke Girard,Girard,16,61,128,0,205
Burke Gough,Gough,5,43,58,0,106
Burke Greenscut,Greenscut,12,148,197,0,357
Burke Keysville,Keysville,2,24,81,0,107
Burke Midville,Midville,2,20,94,0,116
Burke Munnerlyn,Munnerlyn,2,36,58,0,96
Burke Sardis,Sardis,8,69,251,0,328
Burke Scotts Crossroads,Scotts Crossroads,0,15,42,0,57
Burke Telfair,Telfair,11,93,200,0,304
Burke St Clair,St Clair,7,72,106,0,185
Burke Vidette,Vidette,2,19,75,2,98
Burke North Waynesboro,North Waynesboro,19,279,121,0,419
Burke South Waynesboro,South Waynesboro,40,674,408,1,1123
Burke Blakeney,Blakeney,1,76,74,0,151
Butts Butts County Recreation Center,Butts County Recreation Center,71,1229,298,0,1598
Butts Jenkinsburg City Hall,Jenkinsburg City Hall,33,1013,336,0,1382
Butts Rock Creek Missionary,Rock Creek Missionary,23,445,161,1,630
Butts Stark United Methodist Church,Stark United Methodist Church,54,1308,538,0,1900
Butts Towaliga Baptist Church,Towaliga Baptist Church,48,1253,411,1,1713
Calhoun Leary ,Leary ,7,124,87,0,218
Calhoun Morgan,Morgan,20,128,120,0,268
Calhoun Edison ,Edison ,4,18,40,0,62
Calhoun Edison-Arlington,Edison-Arlington,4,79,78,0,161
Calhoun Arlington,Arlington,2,43,39,0,84
Camden Tarboro,Tarboro,7,161,253,0,421
Camden Waverly,Waverly,33,376,421,1,831
Camden Woodbine,Woodbine,17,320,356,0,693
Camden Browntown,Browntown,5,116,165,0,286
